case_id,n_lumps,lump_size,lump_amp,sigma,CHO_AUC
1,15,3,3,1,0.9972
2,15,3,3,2,0.9781
3,15,3,3,3,0.9526
4,15,3,1,1,1.0
5,15,3,1,2,0.9988
6,15,3,1,3,0.9833
7,15,6,3,1,0.9993
8,15,6,3,2,0.9846
9,15,6,3,3,0.9572
10,15,6,1,1,1.0
11,15,6,1,2,0.9986
12,15,6,1,3,0.9885
13,100,3,3,1,0.9905
14,100,3,3,2,0.9049
15,100,3,3,3,0.8506
16,100,3,1,1,0.9996
17,100,3,1,2,0.9873
18,100,3,1,3,0.9602
19,100,6,3,1,0.9951
20,100,6,3,2,0.9398
21,100,6,3,3,0.8823
22,100,6,1,1,0.9997
23,100,6,1,2,0.991
24,100,6,1,3,0.964
